frame,time_s,scenario,target_lux,detected,est_x,est_y,est_z,err_x,err_y,err_z,rot_x,rot_y,rot_z,marker_area_px,frame_brightness
16,0.5348,Midnight 00:00,0.1,1,0.03597,0.004,2.59127,0.59127,0.03597,-0.996,3.12775,0.00023,0.27984,625.0,5.048
17,0.5682,Midnight 00:00,0.1,1,0.03597,0.004,2.59127,0.59127,0.03597,-0.996,3.12775,0.00023,0.27984,625.0,5.048
18,0.6017,Midnight 00:00,0.1,1,0.03597,0.004,2.59127,0.59127,0.03597,-0.996,3.12775,0.00023,0.27984,625.0,5.048
19,0.6351,Midnight 00:00,0.1,1,0.03597,0.004,2.59127,0.59127,0.03597,-0.996,3.12775,0.00023,0.27984,625.0,5.048
20,0.6685,Midnight 00:00,0.1,1,0.03597,0.004,2.59127,0.59127,0.03597,-0.996,3.12775,0.00023,0.27984,625.0,5.048
21,0.7019,Midnight 00:00,0.1,1,0.03597,0.004,2.59127,0.59127,0.03597,-0.996,3.12775,0.00023,0.27984,625.0,5.048
22,0.7354,Midnight 00:00,0.1,1,0.03597,0.004,2.59127,0.59127,0.03597,-0.996,3.12775,0.00023,0.27984,625.0,5.048
23,0.7688,Midnight 00:00,0.1,1,0.03597,0.004,2.59127,0.59127,0.03597,-0.996,3.12775,0.00023,0.27984,625.0,5.048
24,0.8022,Midnight 00:00,0.1,1,0.03597,0.004,2.59127,0.59127,0.03597,-0.996,3.12775,0.00023,0.27984,625.0,5.048
25,0.8357,Midnight 00:00,0.1,1,0.03597,0.004,2.59127,0.59127,0.03597,-0.996,3.12775,0.00023,0.27984,625.0,5.048
26,0.8691,Midnight 00:00,0.1,1,0.03597,0.004,2.59127,0.59127,0.03597,-0.996,3.12775,0.00023,0.27984,625.0,5.048
27,0.9025,Midnight 00:00,0.1,1,0.03597,0.004,2.59127,0.59127,0.03597,-0.996,3.12775,0.00023,0.27984,625.0,5.048
28,0.9359,Midnight 00:00,0.1,1,0.03597,0.004,2.59127,0.59127,0.03597,-0.996,3.12775,0.00023,0.27984,625.0,5.048
29,0.9694,Midnight 00:00,0.1,1,0.03597,0.004,2.59127,0.59127,0.03597,-0.996,3.12775,0.00023,0.27984,625.0,5.048
30,1.0028,Midnight 00:00,0.1,1,0.03597,0.004,2.59127,0.59127,0.03597,-0.996,3.12775,0.00023,0.27984,625.0,5.048
31,1.0362,Midnight 00:00,0.1,1,0.03597,0.004,2.59127,0.59127,0.03597,-0.996,3.12775,0.00023,0.27984,625.0,5.048
32,1.0696,Midnight 00:00,0.1,1,0.03255,0.004,2.59196,0.59196,0.03255,-0.996,3.09797,0.00041,0.51293,600.0,5.061
33,1.1031,Midnight 00:00,0.1,1,0.01688,0.004,2.59206,0.59206,0.01688,-0.996,3.09646,0.00041,0.52181,600.0,5.07
34,1.1365,Midnight 00:00,0.1,1,0.00464,0.004,2.59154,0.59154,0.00464,-0.996,3.12613,0.00023,0.29649,625.0,5.053
35,1.1699,Midnight 00:00,0.1,1,-0.00905,0.004,2.5921,0.5921,-0.00905,-0.996,3.09569,-0.00041,-0.5263,600.0,5.07
36,1.2033,Midnight 00:00,0.1,1,-0.02472,0.004,2.59201,0.59201,-0.02472,-0.996,3.09722,-0.00041,-0.51735,600.0,5.069
37,1.2368,Midnight 00:00,0.1,1,-0.03423,0.00429,2.58445,0.58445,-0.03423,-0.99571,-3.03393,0.01439,0.41317,612.5,5.055
38,1.2702,Midnight 00:00,0.1,1,-0.05946,0.004,2.59107,0.59107,-0.05946,-0.996,3.12885,-0.00023,-0.26808,625.0,5.057
39,1.3036,Midnight 00:00,0.1,1,-0.05946,0.004,2.59107,0.59107,-0.05946,-0.996,3.12885,-0.00023,-0.26808,625.0,5.057
40,1.337,Midnight 00:00,0.1,1,-0.08739,0.004,2.59165,0.59165,-0.08739,-0.996,3.10285,-0.00041,-0.48309,600.0,5.073
41,1.3705,Midnight 00:00,0.1,1,-0.08739,0.004,2.59165,0.59165,-0.08739,-0.996,3.10285,-0.00041,-0.48309,600.0,5.072
42,1.4039,Midnight 00:00,0.1,1,-0.09862,0.004,2.59076,0.59076,-0.09862,-0.996,3.13046,-0.00023,-0.24982,625.0,5.052
43,1.4373,Midnight 00:00,0.1,1,-0.11089,0.004,2.59151,0.59151,-0.11089,-0.996,3.10477,-0.00041,-0.47088,600.0,5.07
44,1.4708,Midnight 00:00,0.1,1,-0.12465,0.00621,2.63557,0.63557,-0.12465,-0.99379,-3.0881,-0.03266,-0.4204,600.5,5.062
45,1.5042,Midnight 00:00,0.1,1,-0.15006,0.004,2.5913,0.5913,-0.15006,-0.996,3.10774,-0.00041,-0.45131,600.0,5.072
46,1.5376,Midnight 00:00,0.1,1,-0.16126,0.004,2.5903,0.5903,-0.16126,-0.996,3.13257,-0.00022,-0.22386,625.0,5.055
47,1.571,Midnight 00:00,0.1,1,-0.17355,0.004,2.59117,0.59117,-0.17355,-0.996,3.1094,-0.00041,-0.44002,600.0,5.068
48,1.6045,Midnight 00:00,0.1,1,-0.18922,0.004,2.59109,0.59109,-0.18922,-0.996,3.11045,-0.0004,-0.43268,600.0,5.069
49,1.6379,Midnight 00:00,0.1,1,-0.18922,0.004,2.59109,0.59109,-0.18922,-0.996,3.11045,-0.0004,-0.43268,600.0,5.069
50,1.6713,Midnight 00:00,0.1,1,-0.21271,0.004,2.59097,0.59097,-0.21271,-0.996,3.11196,-0.0004,-0.42196,600.0,5.07
51,1.7047,Midnight 00:00,0.1,1,-0.22469,0.00563,2.61611,0.61611,-0.22469,-0.99437,2.99371,0.00784,0.3974,612.5,5.061
52,1.7382,Midnight 00:00,0.1,1,-0.22828,0.0062,2.63661,0.63661,-0.22828,-0.9938,-3.08083,-0.03323,-0.49457,600.5,5.058
53,1.7716,Midnight 00:00,0.1,1,-0.25186,0.004,2.59077,0.59077,-0.25186,-0.996,3.1143,-0.0004,-0.4048,600.0,5.071
54,1.805,Midnight 00:00,0.1,1,-0.25186,0.004,2.59077,0.59077,-0.25186,-0.996,3.1143,-0.0004,-0.4048,600.0,5.071
55,1.8384,Midnight 00:00,0.1,1,-0.27535,0.004,2.59066,0.59066,-0.27535,-0.996,3.1156,-0.0004,-0.39494,600.0,5.066
56,1.8719,Midnight 00:00,0.1,1,-0.27535,0.004,2.59066,0.59066,-0.27535,-0.996,3.1156,-0.0004,-0.39494,600.0,5.066
57,1.9053,Midnight 00:00,0.1,1,-0.29101,0.004,2.59059,0.59059,-0.29101,-0.996,3.11643,-0.00039,-0.38854,600.0,5.062
58,1.9387,Midnight 00:00,0.1,1,-0.29986,0.00427,2.58393,0.58393,-0.29986,-0.99573,-3.05322,0.00856,0.29445,612.5,5.055
59,1.9721,Midnight 00:00,0.1,1,-0.3145,0.004,2.59048,0.59048,-0.3145,-0.996,3.11761,-0.00039,-0.37919,600.0,5.066
60,2.0056,Midnight 00:00,0.1,1,-0.32566,0.004,2.58934,0.58934,-0.32566,-0.996,3.1362,-0.0002,-0.17157,625.0,5.051
61,2.039,Midnight 00:00,0.1,1,-0.35365,0.004,2.59031,0.59031,-0.35365,-0.996,3.11944,-0.00039,-0.36427,600.0,5.066
62,2.0724,Midnight 00:00,0.1,1,-0.35365,0.004,2.59031,0.59031,-0.35365,-0.996,3.11944,-0.00039,-0.36427,600.0,5.066
