frame,time_s,scenario,source,target_lux,detected,est_x,est_y,est_z,err_x,err_y,err_z,rot_x,rot_y,rot_z,marker_area_px,frame_brightness
0,0.0,Evening 21:00,real-world,0.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.585
1,0.0667,Evening 21:00,real-world,0.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.538
2,0.1333,Evening 21:00,real-world,0.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.255
3,0.2,Evening 21:00,real-world,0.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.214
4,0.2667,Evening 21:00,real-world,0.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.185
5,0.3333,Evening 21:00,real-world,0.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.466
6,0.4,Evening 21:00,real-world,0.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.06
7,0.4667,Evening 21:00,real-world,0.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.098
8,0.5333,Evening 21:00,real-world,0.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.214
9,0.6,Evening 21:00,real-world,0.3,1,-0.27161,-0.0843,0.87603,-1.12397,-0.27161,-1.0843,3.12176,-0.07398,0.24263,46816.5,17.25
10,0.6667,Evening 21:00,real-world,0.3,1,-0.2688,-0.08798,0.95238,-1.04762,-0.2688,-1.08798,3.09307,-0.06523,0.34404,39610.0,16.277
11,0.7333,Evening 21:00,real-world,0.3,1,-0.26024,-0.09062,1.02411,-0.97589,-0.26024,-1.09062,-2.98812,0.06501,-0.08052,33589.5,15.231
12,0.8,Evening 21:00,real-world,0.3,1,-0.24219,-0.08543,1.09149,-0.90851,-0.24219,-1.08543,-2.85847,0.10401,-0.11917,29155.0,14.258
13,0.8667,Evening 21:00,real-world,0.3,1,-0.22282,-0.07855,1.16496,-0.83504,-0.22282,-1.07855,2.97637,-0.21935,0.53331,25323.0,13.751
14,0.9333,Evening 21:00,real-world,0.3,1,-0.20652,-0.05887,1.23624,-0.76376,-0.20652,-1.05887,-2.9457,0.19708,0.18403,21954.0,13.338
15,1.0,Evening 21:00,real-world,0.3,1,-0.18092,-0.04111,1.31553,-0.68447,-0.18092,-1.04111,-2.86813,0.18145,0.14076,19229.5,13.102
16,1.0667,Evening 21:00,real-world,0.3,1,-0.15502,-0.02488,1.37162,-0.62838,-0.15502,-1.02488,-2.84808,0.14793,0.20013,17396.5,12.871
17,1.1333,Evening 21:00,real-world,0.3,1,-0.13322,-0.01035,1.4672,-0.5328,-0.13322,-1.01035,-2.84989,0.14221,0.14748,15310.5,12.721
18,1.2,Evening 21:00,real-world,0.3,1,-0.10959,-0.00356,1.54029,-0.45971,-0.10959,-1.00356,-2.84489,0.09894,0.03067,14004.0,12.576
19,1.2667,Evening 21:00,real-world,0.3,1,-0.08771,-0.00533,1.5823,-0.4177,-0.08771,-1.00533,-2.72869,0.08351,-0.01956,12756.5,12.52
20,1.3333,Evening 21:00,real-world,0.3,1,-0.07318,-0.01543,1.61497,-0.38503,-0.07318,-1.01543,-2.71566,0.01757,-0.00165,12190.5,12.442
