frame,time_s,scenario,source,target_lux,detected,est_x,est_y,est_z,err_x,err_y,err_z,rot_x,rot_y,rot_z,marker_area_px,frame_brightness
0,0.0,Twilight 19:00,real-world,3.0,1,-0.21681,-0.01741,0.57722,-1.42278,-0.21681,-1.01741,2.92671,-0.47465,0.56572,109896.0,62.591
1,0.0667,Twilight 19:00,real-world,3.0,1,-0.21956,-0.02147,0.60348,-1.39652,-0.21956,-1.02147,2.89979,-0.41489,0.44937,98736.0,60.016
2,0.1333,Twilight 19:00,real-world,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.437
3,0.2,Twilight 19:00,real-world,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.787
4,0.2667,Twilight 19:00,real-world,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.596
5,0.3333,Twilight 19:00,real-world,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.478
6,0.4,Twilight 19:00,real-world,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.752
7,0.4667,Twilight 19:00,real-world,3.0,1,-0.15456,-0.01611,0.91024,-1.08976,-0.15456,-1.01611,2.45605,-0.26422,-0.12729,31399.5,56.189
8,0.5333,Twilight 19:00,real-world,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.868
9,0.6,Twilight 19:00,real-world,3.0,1,-0.13704,-0.01685,1.07903,-0.92097,-0.13704,-1.01685,3.55442,-0.17667,0.7551,25747.5,57.785
10,0.6667,Twilight 19:00,real-world,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.363
11,0.7333,Twilight 19:00,real-world,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.604
12,0.8,Twilight 19:00,real-world,3.0,1,-0.13644,-0.02348,1.29231,-0.70769,-0.13644,-1.02348,2.9524,-0.08552,-0.23485,19778.0,59.019
13,0.8667,Twilight 19:00,real-world,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.644
14,0.9333,Twilight 19:00,real-world,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.154
15,1.0,Twilight 19:00,real-world,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.502
16,1.0667,Twilight 19:00,real-world,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.511
17,1.1333,Twilight 19:00,real-world,3.0,1,-0.15409,0.03647,1.84955,-0.15045,-0.15409,-0.96353,-2.90155,0.08731,-0.0642,9847.5,60.425
18,1.2,Twilight 19:00,real-world,3.0,1,-0.14774,0.03722,1.94821,-0.05179,-0.14774,-0.96278,-2.90639,0.09455,-0.05262,8882.5,60.608
