frame,time_s,scenario,source,target_lux,detected,est_x,est_y,est_z,err_x,err_y,err_z,rot_x,rot_y,rot_z,marker_area_px,frame_brightness
0,0.0,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.912
1,0.0335,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.912
2,0.067,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.912
3,0.1006,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.912
4,0.1341,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.912
5,0.1676,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.912
6,0.2011,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.912
7,0.2346,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.912
8,0.2682,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.912
9,0.3017,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.912
10,0.3352,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.912
11,0.3687,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.912
12,0.4022,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.911
13,0.4358,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.911
14,0.4693,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.911
15,0.5028,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.911
16,0.5363,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.911
17,0.5698,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.911
18,0.6034,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.911
19,0.6369,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.911
20,0.6704,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.911
21,0.7039,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.911
22,0.7374,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.911
23,0.7709,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.911
24,0.8045,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.911
25,0.838,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.911
26,0.8715,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.911
27,0.905,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.911
28,0.9385,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.911
29,0.9721,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.911
30,1.0056,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.911
31,1.0391,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.911
32,1.0726,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.911
33,1.1061,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.911
34,1.1397,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.911
35,1.1732,Midnight 00:00,simulation,0.1,1,-0.08407,-0.01628,2.614,0.614,-0.08407,-1.01628,2.82046,-0.00747,0.04377,625.0,4.921
36,1.2067,Midnight 00:00,simulation,0.1,1,-0.10008,-0.01634,2.72238,0.72238,-0.10008,-1.01634,2.9812,-0.00452,0.0488,600.0,4.932
37,1.2402,Midnight 00:00,simulation,0.1,1,-0.10008,-0.01634,2.72238,0.72238,-0.10008,-1.01634,2.9812,-0.00452,0.0488,600.0,4.932
38,1.2737,Midnight 00:00,simulation,0.1,1,-0.12418,-0.01628,2.61559,0.61559,-0.12418,-1.01628,2.82187,-0.01097,0.06461,625.0,4.921
39,1.3073,Midnight 00:00,simulation,0.1,1,-0.14188,-0.01634,2.72421,0.72421,-0.14188,-1.01634,2.9849,-0.00625,0.06887,600.0,4.939
40,1.3408,Midnight 00:00,simulation,0.1,1,-0.14828,-0.01628,2.61683,0.61683,-0.14828,-1.01628,2.82299,-0.01304,0.0771,625.0,4.939
41,1.3743,Midnight 00:00,simulation,0.1,1,-0.16437,-0.01628,2.61777,0.61777,-0.16437,-1.01628,2.82384,-0.0144,0.08543,625.0,4.928
42,1.4078,Midnight 00:00,simulation,0.1,1,-0.16437,-0.01628,2.61777,0.61777,-0.16437,-1.01628,2.82384,-0.0144,0.08543,625.0,4.928
43,1.4413,Midnight 00:00,simulation,0.1,1,-0.18378,-0.01633,2.72667,0.72667,-0.18378,-1.01633,2.99006,-0.00781,0.08864,600.0,4.939
44,1.4749,Midnight 00:00,simulation,0.1,1,-0.18854,-0.01629,2.61938,0.61938,-0.18854,-1.01629,2.8253,-0.01642,0.09792,625.0,4.921
45,1.5084,Midnight 00:00,simulation,0.1,1,-0.20898,-0.01632,2.72844,0.72844,-0.20898,-1.01632,2.99393,-0.00864,0.10028,600.0,4.938
46,1.5419,Midnight 00:00,simulation,0.1,1,-0.20898,-0.01632,2.72844,0.72844,-0.20898,-1.01632,2.99393,-0.00864,0.10028,600.0,4.938
47,1.5754,Midnight 00:00,simulation,0.1,1,-0.22894,-0.01629,2.62253,0.62253,-0.22894,-1.01629,2.8282,-0.01969,0.11872,625.0,4.926
48,1.6089,Midnight 00:00,simulation,0.1,1,-0.22894,-0.01629,2.62253,0.62253,-0.22894,-1.01629,2.8282,-0.01969,0.11872,625.0,4.926
49,1.6425,Midnight 00:00,simulation,0.1,1,-0.2511,-0.01631,2.7319,0.7319,-0.2511,-1.01631,3.00188,-0.00979,0.11912,600.0,4.942
50,1.676,Midnight 00:00,simulation,0.1,1,-0.27645,-0.0163,2.73426,0.73426,-0.27645,-1.0163,3.00769,-0.0103,0.12996,600.0,4.933
51,1.7095,Midnight 00:00,simulation,0.1,1,-0.27645,-0.0163,2.73426,0.73426,-0.27645,-1.0163,3.00769,-0.0103,0.12996,600.0,4.933
52,1.743,Midnight 00:00,simulation,0.1,1,-0.27645,-0.0163,2.73426,0.73426,-0.27645,-1.0163,3.00769,-0.0103,0.12996,600.0,4.933
53,1.7765,Midnight 00:00,simulation,0.1,1,-0.29339,-0.0163,2.73596,0.73596,-0.29339,-1.0163,3.01207,-0.01055,0.1369,600.0,4.943
