frame,time_s,scenario,target_lux,detected,est_x,est_y,est_z,err_x,err_y,err_z,rot_x,rot_y,rot_z,marker_area_px,frame_brightness
0,0.0,Evening 21:00,0.3,1,0.0044,-0.004,2.63269,0.63269,0.0044,-1.004,3.13758,-0.00014,0.18248,625.0,15.188
1,0.0334,Evening 21:00,0.3,1,0.0044,-0.004,2.63269,0.63269,0.0044,-1.004,3.13758,-0.00014,0.18248,625.0,15.188
2,0.0669,Evening 21:00,0.3,1,0.0044,-0.004,2.63269,0.63269,0.0044,-1.004,3.13758,-0.00014,0.18248,625.0,15.188
3,0.1003,Evening 21:00,0.3,1,0.0044,-0.004,2.63269,0.63269,0.0044,-1.004,3.13758,-0.00014,0.18248,625.0,15.188
4,0.1337,Evening 21:00,0.3,1,0.0044,-0.004,2.63269,0.63269,0.0044,-1.004,3.13758,-0.00014,0.18248,625.0,15.188
5,0.1671,Evening 21:00,0.3,1,0.0044,-0.004,2.63269,0.63269,0.0044,-1.004,3.13758,-0.00014,0.18248,625.0,15.188
6,0.2006,Evening 21:00,0.3,1,0.0044,-0.004,2.63269,0.63269,0.0044,-1.004,3.13758,-0.00014,0.18248,625.0,15.188
7,0.234,Evening 21:00,0.3,1,0.0044,-0.004,2.63269,0.63269,0.0044,-1.004,3.13758,-0.00014,0.18248,625.0,15.188
8,0.2674,Evening 21:00,0.3,1,0.0044,-0.004,2.63269,0.63269,0.0044,-1.004,3.13758,-0.00014,0.18248,625.0,15.188
9,0.3008,Evening 21:00,0.3,1,0.0044,-0.004,2.63269,0.63269,0.0044,-1.004,3.13758,-0.00014,0.18248,625.0,15.188
10,0.3343,Evening 21:00,0.3,1,0.0044,-0.004,2.63269,0.63269,0.0044,-1.004,3.13758,-0.00014,0.18248,625.0,15.188
11,0.3677,Evening 21:00,0.3,1,0.0044,-0.004,2.63269,0.63269,0.0044,-1.004,3.13758,-0.00014,0.18248,625.0,15.188
12,0.4011,Evening 21:00,0.3,1,0.0044,-0.004,2.63269,0.63269,0.0044,-1.004,3.13758,-0.00014,0.18248,625.0,15.188
13,0.4345,Evening 21:00,0.3,1,0.0044,-0.004,2.63269,0.63269,0.0044,-1.004,3.13758,-0.00014,0.18248,625.0,15.188
14,0.468,Evening 21:00,0.3,1,0.0044,-0.004,2.63269,0.63269,0.0044,-1.004,3.13758,-0.00014,0.18248,625.0,15.188
15,0.5014,Evening 21:00,0.3,1,0.0044,-0.004,2.63269,0.63269,0.0044,-1.004,3.13758,-0.00014,0.18248,625.0,15.188
16,0.5348,Evening 21:00,0.3,1,0.0044,-0.004,2.63269,0.63269,0.0044,-1.004,3.13758,-0.00014,0.18248,625.0,15.188
17,0.5682,Evening 21:00,0.3,1,0.0044,-0.004,2.63269,0.63269,0.0044,-1.004,3.13758,-0.00014,0.18248,625.0,15.188
18,0.6017,Evening 21:00,0.3,1,0.0044,-0.004,2.63269,0.63269,0.0044,-1.004,3.13758,-0.00014,0.18248,625.0,15.188
19,0.6351,Evening 21:00,0.3,1,0.0044,-0.004,2.63269,0.63269,0.0044,-1.004,3.13758,-0.00014,0.18248,625.0,15.188
20,0.6685,Evening 21:00,0.3,1,0.0044,-0.004,2.63269,0.63269,0.0044,-1.004,3.13758,-0.00014,0.18248,625.0,15.188
21,0.7019,Evening 21:00,0.3,1,0.0044,-0.004,2.63269,0.63269,0.0044,-1.004,3.13758,-0.00014,0.18248,625.0,15.188
22,0.7354,Evening 21:00,0.3,1,0.0044,-0.004,2.63269,0.63269,0.0044,-1.004,3.13758,-0.00014,0.18248,625.0,15.188
23,0.7688,Evening 21:00,0.3,1,0.0044,-0.004,2.63269,0.63269,0.0044,-1.004,3.13758,-0.00014,0.18248,625.0,15.188
24,0.8022,Evening 21:00,0.3,1,0.0044,-0.004,2.63269,0.63269,0.0044,-1.004,3.13758,-0.00014,0.18248,625.0,15.188
25,0.8357,Evening 21:00,0.3,1,0.0044,-0.004,2.63269,0.63269,0.0044,-1.004,3.13758,-0.00014,0.18248,625.0,15.188
26,0.8691,Evening 21:00,0.3,1,0.0044,-0.004,2.63269,0.63269,0.0044,-1.004,3.13758,-0.00014,0.18248,625.0,15.188
27,0.9025,Evening 21:00,0.3,1,0.0044,-0.004,2.63269,0.63269,0.0044,-1.004,3.13758,-0.00014,0.18248,625.0,15.188
28,0.9359,Evening 21:00,0.3,1,0.0044,-0.004,2.63269,0.63269,0.0044,-1.004,3.13758,-0.00014,0.18248,625.0,15.188
29,0.9694,Evening 21:00,0.3,1,0.0044,-0.004,2.63269,0.63269,0.0044,-1.004,3.13758,-0.00014,0.18248,625.0,15.188
30,1.0028,Evening 21:00,0.3,1,0.0044,-0.004,2.63269,0.63269,0.0044,-1.004,3.13758,-0.00014,0.18248,625.0,15.188
31,1.0362,Evening 21:00,0.3,1,0.0044,-0.004,2.63269,0.63269,0.0044,-1.004,3.13758,-0.00014,0.18248,625.0,15.188
32,1.0696,Evening 21:00,0.3,1,-0.01233,-0.004,2.63259,0.63259,-0.01233,-1.004,3.13776,0.00014,-0.17883,625.0,15.207
33,1.1031,Evening 21:00,0.3,1,-0.02487,-0.004,2.63318,0.63318,-0.02487,-1.004,3.10839,0.00036,-0.46531,600.0,15.222
34,1.1365,Evening 21:00,0.3,1,-0.0361,-0.004,2.6323,0.6323,-0.0361,-1.004,3.13825,0.00014,-0.16849,625.0,15.198
35,1.1699,Evening 21:00,0.3,1,-0.04864,-0.004,2.63303,0.63303,-0.04864,-1.004,3.11027,0.00036,-0.4523,600.0,15.219
36,1.2033,Evening 21:00,0.3,1,-0.06449,-0.004,2.63294,0.63294,-0.06449,-1.004,3.11146,0.00036,-0.44385,600.0,15.219
37,1.2368,Evening 21:00,0.3,1,-0.07571,-0.004,2.63185,0.63185,-0.07571,-1.004,3.13892,0.00014,-0.15304,625.0,15.198
38,1.2702,Evening 21:00,0.3,1,-0.08826,-0.004,2.6328,0.6328,-0.08826,-1.004,3.11315,0.00036,-0.43149,600.0,15.225
39,1.3036,Evening 21:00,0.3,1,-0.09948,-0.004,2.63161,0.63161,-0.09948,-1.004,3.13924,0.00014,-0.14473,625.0,15.204
40,1.337,Evening 21:00,0.3,1,-0.11532,-0.004,2.63145,0.63145,-0.11532,-1.004,3.13943,0.00014,-0.13955,625.0,15.214
41,1.3705,Evening 21:00,0.3,1,-0.12787,-0.004,2.63257,0.63257,-0.12787,-1.004,3.11575,0.00036,-0.41175,600.0,15.22
42,1.4039,Evening 21:00,0.3,1,-0.13908,-0.004,2.63124,0.63124,-0.13908,-1.004,3.13967,0.00014,-0.13228,625.0,15.199
43,1.4373,Evening 21:00,0.3,1,-0.13908,-0.004,2.63124,0.63124,-0.13908,-1.004,3.13967,0.00014,-0.13228,625.0,15.199
44,1.4708,Evening 21:00,0.3,1,-0.15164,-0.004,2.63244,0.63244,-0.15164,-1.004,3.11719,0.00036,-0.40042,600.0,15.225
45,1.5042,Evening 21:00,0.3,1,-0.17868,-0.004,2.63092,0.63092,-0.17868,-1.004,3.14001,0.00013,-0.12135,625.0,15.202
46,1.5376,Evening 21:00,0.3,1,-0.19125,-0.004,2.63223,0.63223,-0.19125,-1.004,3.11939,0.00036,-0.38236,600.0,15.224
47,1.571,Evening 21:00,0.3,1,-0.20243,-0.004,2.63075,0.63075,-0.20243,-1.004,3.14018,0.00013,-0.11543,625.0,15.202
48,1.6045,Evening 21:00,0.3,1,-0.20243,-0.004,2.63075,0.63075,-0.20243,-1.004,3.14018,0.00013,-0.11543,625.0,15.202
49,1.6379,Evening 21:00,0.3,1,-0.23085,-0.004,2.63203,0.63203,-0.23085,-1.004,3.12137,0.00035,-0.36531,600.0,15.219
50,1.6713,Evening 21:00,0.3,1,-0.24203,-0.004,2.6305,0.6305,-0.24203,-1.004,3.14041,0.00013,-0.10651,625.0,15.2
51,1.7047,Evening 21:00,0.3,1,-0.25461,-0.004,2.63191,0.63191,-0.25461,-1.004,3.12246,0.00035,-0.35555,600.0,15.219
52,1.7382,Evening 21:00,0.3,1,-0.26579,-0.004,2.63037,0.63037,-0.26579,-1.004,3.14052,0.00012,-0.10166,625.0,15.208
53,1.7716,Evening 21:00,0.3,1,-0.28162,-0.004,2.63029,0.63029,-0.28162,-1.004,3.14059,0.00012,-0.09862,625.0,15.208
54,1.805,Evening 21:00,0.3,1,-0.29421,-0.004,2.63172,0.63172,-0.29421,-1.004,3.12412,0.00035,-0.34003,600.0,15.221
55,1.8384,Evening 21:00,0.3,1,-0.30538,-0.004,2.63017,0.63017,-0.30538,-1.004,3.14068,0.00012,-0.09433,625.0,15.197
56,1.8719,Evening 21:00,0.3,1,-0.31797,-0.004,2.63161,0.63161,-0.31797,-1.004,3.12504,0.00034,-0.33116,600.0,15.217
57,1.9053,Evening 21:00,0.3,1,-0.33381,-0.004,2.63154,0.63154,-0.33381,-1.004,3.12562,0.00034,-0.32542,600.0,15.212
58,1.9387,Evening 21:00,0.3,1,-0.34497,-0.004,2.63001,0.63001,-0.34497,-1.004,3.14081,0.00011,-0.08781,625.0,15.198
59,1.9721,Evening 21:00,0.3,1,-0.35757,-0.004,2.63144,0.63144,-0.35757,-1.004,3.12645,0.00034,-0.31707,600.0,15.218
60,2.0056,Evening 21:00,0.3,1,-0.36873,-0.004,2.62993,0.62993,-0.36873,-1.004,3.14088,0.00011,-0.08425,625.0,15.199
61,2.039,Evening 21:00,0.3,1,-0.38133,-0.004,2.63134,0.63134,-0.38133,-1.004,3.12722,0.00034,-0.30902,600.0,15.209
62,2.0724,Evening 21:00,0.3,1,-0.39716,-0.004,2.63128,0.63128,-0.39716,-1.004,3.12771,0.00033,-0.30382,600.0,15.21
63,2.1058,Evening 21:00,0.3,1,-0.40832,-0.004,2.6298,0.6298,-0.40832,-1.004,3.14097,0.0001,-0.07882,625.0,15.187
64,2.1393,Evening 21:00,0.3,1,-0.42092,-0.004,2.63119,0.63119,-0.42092,-1.004,3.1284,0.00033,-0.29625,600.0,15.214
65,2.1727,Evening 21:00,0.3,1,-0.43208,-0.004,2.62973,0.62973,-0.43208,-1.004,3.14102,0.0001,-0.07585,625.0,15.201
66,2.2061,Evening 21:00,0.3,1,-0.44792,-0.004,2.62969,0.62969,-0.44792,-1.004,3.14105,0.0001,-0.07397,625.0,15.2
67,2.2396,Evening 21:00,0.3,1,-0.46051,-0.004,2.63104,0.63104,-0.46051,-1.004,3.12947,0.00032,-0.28423,600.0,15.212
68,2.273,Evening 21:00,0.3,1,-0.47167,-0.004,2.62963,0.62963,-0.47167,-1.004,3.14109,0.0001,-0.07129,625.0,15.194
69,2.3064,Evening 21:00,0.3,1,-0.48427,-0.004,2.63096,0.63096,-0.48427,-1.004,3.13006,0.00032,-0.27737,600.0,15.208
70,2.3398,Evening 21:00,0.3,1,-0.5001,-0.004,2.6309,0.6309,-0.5001,-1.004,3.13043,0.00032,-0.27294,600.0,15.207
71,2.3733,Evening 21:00,0.3,1,-0.51127,-0.004,2.62955,0.62955,-0.51127,-1.004,3.14115,9e-05,-0.0672,625.0,15.192
72,2.4067,Evening 21:00,0.3,1,-0.52386,-0.004,2.63083,0.63083,-0.52386,-1.004,3.13096,0.00031,-0.26648,600.0,15.21
73,2.4401,Evening 21:00,0.3,1,-0.53503,-0.004,2.62951,0.62951,-0.53503,-1.004,3.14118,9e-05,-0.06493,625.0,15.192
74,2.4735,Evening 21:00,0.3,1,-0.55086,-0.004,2.62948,0.62948,-0.55086,-1.004,3.14119,9e-05,-0.0635,625.0,15.199
75,2.507,Evening 21:00,0.3,1,-0.56345,-0.004,2.6307,0.6307,-0.56345,-1.004,3.13177,0.00031,-0.25624,600.0,15.209
76,2.5404,Evening 21:00,0.3,1,-0.57462,-0.004,2.62944,0.62944,-0.57462,-1.004,3.14122,9e-05,-0.06145,625.0,15.186
77,2.5738,Evening 21:00,0.3,1,-0.5872,-0.004,2.63063,0.63063,-0.5872,-1.004,3.13222,0.0003,-0.25039,600.0,15.201
78,2.6072,Evening 21:00,0.3,1,-0.59838,-0.004,2.6294,0.6294,-0.59838,-1.004,3.14124,8e-05,-0.05951,625.0,15.196
79,2.6407,Evening 21:00,0.3,1,-0.61422,-0.004,2.62938,0.62938,-0.61422,-1.004,3.14126,8e-05,-0.05828,625.0,15.188
80,2.6741,Evening 21:00,0.3,1,-0.62679,-0.004,2.63053,0.63053,-0.62679,-1.004,3.13291,0.0003,-0.24109,600.0,15.202
81,2.7075,Evening 21:00,0.3,1,-0.63798,-0.004,2.62935,0.62935,-0.63798,-1.004,3.14128,8e-05,-0.05652,625.0,15.186
82,2.7409,Evening 21:00,0.3,1,-0.65055,-0.004,2.63046,0.63046,-0.65055,-1.004,3.1333,0.00029,-0.23578,600.0,15.192
83,2.7744,Evening 21:00,0.3,1,-0.66638,-0.004,2.63042,0.63042,-0.66638,-1.004,3.13354,0.00029,-0.23234,600.0,15.196
84,2.8078,Evening 21:00,0.3,1,-0.67758,-0.004,2.62931,0.62931,-0.67758,-1.004,3.14131,8e-05,-0.0538,625.0,15.181
85,2.8412,Evening 21:00,0.3,1,-0.69014,-0.004,2.63037,0.63037,-0.69014,-1.004,3.13389,0.00029,-0.22734,600.0,15.197
86,2.8747,Evening 21:00,0.3,1,-0.70134,-0.004,2.62928,0.62928,-0.70134,-1.004,3.14133,8e-05,-0.05227,625.0,15.189
87,2.9081,Evening 21:00,0.3,1,-0.71389,-0.004,2.63031,0.63031,-0.71389,-1.004,3.13422,0.00028,-0.22251,600.0,15.18
88,2.9415,Evening 21:00,0.3,1,-0.72973,-0.004,2.63028,0.63028,-0.72973,-1.004,3.13442,0.00028,-0.21938,600.0,15.192
89,2.9749,Evening 21:00,0.3,1,-0.74094,-0.004,2.62924,0.62924,-0.74094,-1.004,3.14135,7e-05,-0.0499,625.0,15.171
90,3.0084,Evening 21:00,0.3,1,-0.75348,-0.004,2.63023,0.63023,-0.75348,-1.004,3.13472,0.00027,-0.21482,600.0,15.187
91,3.0418,Evening 21:00,0.3,1,-0.76625,-0.00384,2.627,0.627,-0.76625,-1.00384,3.18007,-0.00612,-0.14288,612.5,15.186
92,3.0752,Evening 21:00,0.3,1,-0.78054,-0.004,2.62921,0.62921,-0.78054,-1.004,3.14137,7e-05,-0.04773,625.0,15.169
93,3.1086,Evening 21:00,0.3,1,-0.79307,-0.004,2.63015,0.63015,-0.79307,-1.004,3.13518,0.00027,-0.20757,600.0,15.184
94,3.1421,Evening 21:00,0.3,1,-0.8043,-0.004,2.62919,0.62919,-0.8043,-1.004,3.14138,7e-05,-0.0465,625.0,15.169
