frame,time_s,scenario,source,target_lux,detected,est_x,est_y,est_z,err_x,err_y,err_z,rot_x,rot_y,rot_z,marker_area_px,frame_brightness
0,0.0,Midnight 00:00,real-world,0.1,1,-0.15402,-0.0479,0.67439,-1.32561,-0.15402,-1.0479,2.78774,-0.27822,0.89185,70325.0,15.283
1,0.0667,Midnight 00:00,real-world,0.1,1,-0.1536,-0.04155,0.73182,-1.26818,-0.1536,-1.04155,2.73745,-0.2888,0.65046,59825.0,14.176
2,0.1333,Midnight 00:00,real-world,0.1,1,-0.14635,-0.0437,0.7906,-1.2094,-0.14635,-1.0437,2.67376,-0.3015,0.49691,49722.5,12.504
3,0.2,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.598
4,0.2667,Midnight 00:00,real-world,0.1,1,-0.14503,-0.04571,0.96558,-1.03442,-0.14503,-1.04571,2.67508,-0.32646,0.11605,33035.0,9.502
5,0.3333,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.815
6,0.4,Midnight 00:00,real-world,0.1,1,-0.13399,-0.06397,1.12369,-0.87631,-0.13399,-1.06397,2.8818,-0.41501,-0.08414,26106.0,8.304
7,0.4667,Midnight 00:00,real-world,0.1,1,-0.14323,-0.0776,1.18402,-0.81598,-0.14323,-1.0776,2.93566,-0.38267,-0.13249,23676.0,7.77
8,0.5333,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.374
9,0.6,Midnight 00:00,real-world,0.1,1,-0.1723,-0.06703,1.29546,-0.70454,-0.1723,-1.06703,2.87788,-0.29973,-0.39214,18454.0,7.053
10,0.6667,Midnight 00:00,real-world,0.1,1,-0.18704,-0.05833,1.35326,-0.64674,-0.18704,-1.05833,2.87959,-0.27064,-0.38558,16944.5,6.799
11,0.7333,Midnight 00:00,real-world,0.1,1,-0.19859,-0.05537,1.42838,-0.57162,-0.19859,-1.05537,2.98356,-0.24315,-0.45449,15369.0,6.596
12,0.8,Midnight 00:00,real-world,0.1,1,-0.20697,-0.04784,1.47824,-0.52176,-0.20697,-1.04784,3.15211,-0.2495,-0.49944,14471.0,6.452
13,0.8667,Midnight 00:00,real-world,0.1,1,-0.21299,-0.03753,1.55395,-0.44605,-0.21299,-1.03753,3.15609,-0.32614,-0.30082,13771.0,6.358
14,0.9333,Midnight 00:00,real-world,0.1,1,-0.21973,-0.0306,1.62203,-0.37797,-0.21973,-1.0306,3.30006,-0.40211,-0.13853,12866.5,6.238
15,1.0,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.081
16,1.0667,Midnight 00:00,real-world,0.1,1,-0.23467,-0.04901,1.76101,-0.23899,-0.23467,-1.04901,3.11059,-0.29782,-0.35213,10592.0,6.026
17,1.1333,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.031
18,1.2,Midnight 00:00,real-world,0.1,1,-0.23414,-0.06884,1.84333,-0.15667,-0.23414,-1.06884,-2.95089,0.14195,-0.21978,10209.5,6.04
19,1.2667,Midnight 00:00,real-world,0.1,1,-0.23571,-0.0759,1.88125,-0.11875,-0.23571,-1.0759,3.0727,-0.04411,0.47639,9705.0,5.996
20,1.3333,Midnight 00:00,real-world,0.1,1,-0.24194,-0.08332,1.955,-0.045,-0.24194,-1.08332,-2.90795,-0.08309,-0.13944,8994.0,5.823
21,1.4,Midnight 00:00,real-world,0.1,1,-0.2395,-0.09969,2.01069,0.01069,-0.2395,-1.09969,-2.86466,-0.14276,-0.37321,8393.5,5.799
22,1.4667,Midnight 00:00,real-world,0.1,1,-0.23254,-0.11474,2.05939,0.05939,-0.23254,-1.11474,-2.70012,-0.21758,-0.24569,7664.5,5.804
23,1.5333,Midnight 00:00,real-world,0.1,1,-0.22272,-0.13281,2.1145,0.1145,-0.22272,-1.13281,-2.74897,-0.25042,-0.12651,7414.5,5.848
24,1.6,Midnight 00:00,real-world,0.1,1,-0.204,-0.14444,2.13344,0.13344,-0.204,-1.14444,-2.76879,-0.25068,0.02274,7281.0,5.831
25,1.6667,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.863
26,1.7333,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.87
27,1.8,Midnight 00:00,real-world,0.1,1,-0.14848,-0.18165,2.15512,0.15512,-0.14848,-1.18165,-2.88517,-0.14562,-0.25774,7382.0,5.907
28,1.8667,Midnight 00:00,real-world,0.1,1,-0.14034,-0.19368,2.19224,0.19224,-0.14034,-1.19368,3.08986,0.12738,0.29818,7157.5,5.917
29,1.9333,Midnight 00:00,real-world,0.1,1,-0.13946,-0.19601,2.23127,0.23127,-0.13946,-1.19601,-3.18123,-0.15488,-0.23733,6923.5,5.887
30,2.0,Midnight 00:00,real-world,0.1,1,-0.13337,-0.19336,2.22393,0.22393,-0.13337,-1.19336,2.97592,0.14298,0.30726,6802.5,5.918
31,2.0667,Midnight 00:00,real-world,0.1,1,-0.12922,-0.17934,2.24534,0.24534,-0.12922,-1.17934,-3.21603,-0.12412,-0.34664,6734.0,5.915
32,2.1333,Midnight 00:00,real-world,0.1,1,-0.12806,-0.16802,2.27391,0.27391,-0.12806,-1.16802,3.04019,0.07979,0.48169,6464.5,5.906
33,2.2,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.864
34,2.2667,Midnight 00:00,real-world,0.1,1,-0.11708,-0.14163,2.35629,0.35629,-0.11708,-1.14163,-2.98028,-0.15823,0.01864,6226.0,5.905
35,2.3333,Midnight 00:00,real-world,0.1,1,-0.10563,-0.13217,2.32713,0.32713,-0.10563,-1.13217,2.99265,0.15649,0.42414,6162.5,5.861
36,2.4,Midnight 00:00,real-world,0.1,1,-0.09235,-0.12518,2.31895,0.31895,-0.09235,-1.12518,3.01938,0.13837,0.64171,5984.5,5.863
37,2.4667,Midnight 00:00,real-world,0.1,1,-0.07871,-0.11968,2.33103,0.33103,-0.07871,-1.11968,3.03312,0.08793,0.52032,6068.0,5.876
38,2.5333,Midnight 00:00,real-world,0.1,1,-0.06584,-0.11614,2.39371,0.39371,-0.06584,-1.11614,-3.09275,-0.11737,-0.37617,5929.0,5.879
39,2.6,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.888
40,2.6667,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.868
41,2.7333,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.853
42,2.8,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.886
43,2.8667,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.896
44,2.9333,Midnight 00:00,real-world,0.1,1,-0.02753,-0.11496,2.37289,0.37289,-0.02753,-1.11496,3.02891,-0.05538,0.43349,5892.5,5.836
45,3.0,Midnight 00:00,real-world,0.1,1,-0.02484,-0.11662,2.36265,0.36265,-0.02484,-1.11662,2.9608,-0.06006,0.44241,5853.5,5.855
46,3.0667,Midnight 00:00,real-world,0.1,1,-0.0218,-0.11913,2.40007,0.40007,-0.0218,-1.11913,2.97634,-0.03251,0.28201,5814.0,5.856
47,3.1333,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.858
48,3.2,Midnight 00:00,real-world,0.1,1,-0.01475,-0.1072,2.39085,0.39085,-0.01475,-1.1072,2.96123,-0.06444,0.24739,5860.0,5.868
49,3.2667,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.848
50,3.3333,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.829
51,3.4,Midnight 00:00,real-world,0.1,1,-0.00783,-0.07612,2.41202,0.41202,-0.00783,-1.07612,3.04061,-0.06335,0.22392,5861.0,5.866
52,3.4667,Midnight 00:00,real-world,0.1,1,-0.0096,-0.07079,2.40073,0.40073,-0.0096,-1.07079,3.00401,-0.06902,0.02788,5941.0,5.849
53,3.5333,Midnight 00:00,real-world,0.1,1,-0.01009,-0.06358,2.40579,0.40579,-0.01009,-1.06358,3.05112,-0.07968,0.34258,5827.0,5.812
54,3.6,Midnight 00:00,real-world,0.1,1,-0.01168,-0.05494,2.4076,0.4076,-0.01168,-1.05494,2.9692,-0.05669,0.22552,5821.0,5.85
55,3.6667,Midnight 00:00,real-world,0.1,1,-0.01101,-0.04695,2.41283,0.41283,-0.01101,-1.04695,3.05459,-0.07237,0.24473,5864.0,5.838
56,3.7333,Midnight 00:00,real-world,0.1,1,-0.01248,-0.0408,2.38746,0.38746,-0.01248,-1.0408,3.0137,-0.09194,0.37336,5870.5,5.826
57,3.8,Midnight 00:00,real-world,0.1,1,-0.0123,-0.03653,2.41495,0.41495,-0.0123,-1.03653,3.07755,-0.07248,0.25236,5864.0,5.826
58,3.8667,Midnight 00:00,real-world,0.1,1,-0.0166,-0.03382,2.39851,0.39851,-0.0166,-1.03382,3.17075,-0.08534,-0.47453,5752.5,5.824
59,3.9333,Midnight 00:00,real-world,0.1,1,-0.01527,-0.03346,2.41633,0.41633,-0.01527,-1.03346,3.0464,-0.0558,0.11187,5898.0,5.815
60,4.0,Midnight 00:00,real-world,0.1,1,-0.0198,-0.03441,2.38367,0.38367,-0.0198,-1.03441,3.01079,-0.0658,0.2532,5977.5,5.85
