frame,time_s,scenario,target_lux,detected,est_x,est_y,est_z,err_x,err_y,err_z,rot_x,rot_y,rot_z,marker_area_px,frame_brightness
0,0.0,Twilight 19:00,3.0,1,-0.02801,-0.03213,2.56507,0.56507,-0.02801,-1.03213,3.07064,-0.00067,0.01136,625.0,43.185
1,0.0336,Twilight 19:00,3.0,1,-0.02801,-0.03213,2.56507,0.56507,-0.02801,-1.03213,3.07064,-0.00067,0.01136,625.0,43.185
2,0.0672,Twilight 19:00,3.0,1,-0.02801,-0.03213,2.56507,0.56507,-0.02801,-1.03213,3.07064,-0.00067,0.01136,625.0,43.185
3,0.1008,Twilight 19:00,3.0,1,-0.02801,-0.03213,2.56507,0.56507,-0.02801,-1.03213,3.07064,-0.00067,0.01136,625.0,43.185
4,0.1345,Twilight 19:00,3.0,1,-0.02801,-0.03213,2.56507,0.56507,-0.02801,-1.03213,3.07064,-0.00067,0.01136,625.0,43.185
5,0.1681,Twilight 19:00,3.0,1,-0.02801,-0.03213,2.56507,0.56507,-0.02801,-1.03213,3.07064,-0.00067,0.01136,625.0,43.185
6,0.2017,Twilight 19:00,3.0,1,-0.02801,-0.03213,2.56507,0.56507,-0.02801,-1.03213,3.07064,-0.00067,0.01136,625.0,43.185
7,0.2353,Twilight 19:00,3.0,1,-0.02801,-0.03213,2.56507,0.56507,-0.02801,-1.03213,3.07064,-0.00067,0.01136,625.0,43.185
8,0.2689,Twilight 19:00,3.0,1,-0.02801,-0.03213,2.56507,0.56507,-0.02801,-1.03213,3.07064,-0.00067,0.01136,625.0,43.185
9,0.3025,Twilight 19:00,3.0,1,-0.02801,-0.03213,2.56507,0.56507,-0.02801,-1.03213,3.07064,-0.00067,0.01136,625.0,43.185
10,0.3361,Twilight 19:00,3.0,1,-0.02801,-0.03213,2.56507,0.56507,-0.02801,-1.03213,3.07064,-0.00067,0.01136,625.0,43.185
11,0.3697,Twilight 19:00,3.0,1,-0.02801,-0.03213,2.56507,0.56507,-0.02801,-1.03213,3.07064,-0.00067,0.01136,625.0,43.185
12,0.4034,Twilight 19:00,3.0,1,-0.02801,-0.03213,2.56507,0.56507,-0.02801,-1.03213,3.07064,-0.00067,0.01136,625.0,43.185
13,0.437,Twilight 19:00,3.0,1,-0.02801,-0.03213,2.56507,0.56507,-0.02801,-1.03213,3.07064,-0.00067,0.01136,625.0,43.185
14,0.4706,Twilight 19:00,3.0,1,-0.02801,-0.03213,2.56507,0.56507,-0.02801,-1.03213,3.07064,-0.00067,0.01136,625.0,43.185
15,0.5042,Twilight 19:00,3.0,1,-0.02801,-0.03213,2.56507,0.56507,-0.02801,-1.03213,3.07064,-0.00067,0.01136,625.0,43.185
16,0.5378,Twilight 19:00,3.0,1,-0.02801,-0.03213,2.56507,0.56507,-0.02801,-1.03213,3.07064,-0.00067,0.01136,625.0,43.185
17,0.5714,Twilight 19:00,3.0,1,-0.02801,-0.03213,2.56507,0.56507,-0.02801,-1.03213,3.07064,-0.00067,0.01136,625.0,43.185
18,0.605,Twilight 19:00,3.0,1,-0.02801,-0.03213,2.56507,0.56507,-0.02801,-1.03213,3.07064,-0.00067,0.01136,625.0,43.185
19,0.6387,Twilight 19:00,3.0,1,-0.02801,-0.03213,2.56507,0.56507,-0.02801,-1.03213,3.07064,-0.00067,0.01136,625.0,43.185
20,0.6723,Twilight 19:00,3.0,1,-0.02801,-0.03213,2.56507,0.56507,-0.02801,-1.03213,3.07064,-0.00067,0.01136,625.0,43.185
21,0.7059,Twilight 19:00,3.0,1,-0.02801,-0.03213,2.56507,0.56507,-0.02801,-1.03213,3.07064,-0.00067,0.01136,625.0,43.185
22,0.7395,Twilight 19:00,3.0,1,-0.02801,-0.03213,2.56507,0.56507,-0.02801,-1.03213,3.07064,-0.00067,0.01136,625.0,43.185
23,0.7731,Twilight 19:00,3.0,1,-0.02801,-0.03213,2.56507,0.56507,-0.02801,-1.03213,3.07064,-0.00067,0.01136,625.0,43.185
24,0.8067,Twilight 19:00,3.0,1,-0.02801,-0.03213,2.56507,0.56507,-0.02801,-1.03213,3.07064,-0.00067,0.01136,625.0,43.185
25,0.8403,Twilight 19:00,3.0,1,-0.02801,-0.03213,2.56507,0.56507,-0.02801,-1.03213,3.07064,-0.00067,0.01136,625.0,43.185
26,0.8739,Twilight 19:00,3.0,1,-0.02801,-0.03213,2.56507,0.56507,-0.02801,-1.03213,3.07064,-0.00067,0.01136,625.0,43.185
27,0.9076,Twilight 19:00,3.0,1,-0.02801,-0.03213,2.56507,0.56507,-0.02801,-1.03213,3.07064,-0.00067,0.01136,625.0,43.185
28,0.9412,Twilight 19:00,3.0,1,-0.02801,-0.03213,2.56507,0.56507,-0.02801,-1.03213,3.07064,-0.00067,0.01136,625.0,43.185
