frame,time_s,scenario,source,target_lux,detected,est_x,est_y,est_z,err_x,err_y,err_z,rot_x,rot_y,rot_z,marker_area_px,frame_brightness
0,0.0,Evening 21:00,real-world,0.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.35
1,0.0667,Evening 21:00,real-world,0.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.716
2,0.1333,Evening 21:00,real-world,0.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.058
3,0.2,Evening 21:00,real-world,0.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.411
4,0.2667,Evening 21:00,real-world,0.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.567
5,0.3333,Evening 21:00,real-world,0.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.26
6,0.4,Evening 21:00,real-world,0.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.919
7,0.4667,Evening 21:00,real-world,0.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.114
8,0.5333,Evening 21:00,real-world,0.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.121
9,0.6,Evening 21:00,real-world,0.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.435
10,0.6667,Evening 21:00,real-world,0.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.435
11,0.7333,Evening 21:00,real-world,0.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.824
12,0.8,Evening 21:00,real-world,0.3,1,-0.16549,-0.07488,1.15829,-0.84171,-0.16549,-1.07488,3.03831,-0.25839,0.49976,25555.0,12.24
13,0.8667,Evening 21:00,real-world,0.3,1,-0.17393,-0.06189,1.26412,-0.73588,-0.17393,-1.06189,-3.07772,0.19177,-0.35566,21847.5,11.669
14,0.9333,Evening 21:00,real-world,0.3,1,-0.18131,-0.05919,1.33677,-0.66323,-0.18131,-1.05919,-2.98612,0.1168,-0.49125,19228.5,11.11
15,1.0,Evening 21:00,real-world,0.3,1,-0.18584,-0.05849,1.42099,-0.57901,-0.18584,-1.05849,-2.83765,0.10321,-0.36456,16757.0,10.779
16,1.0667,Evening 21:00,real-world,0.3,1,-0.18067,-0.06692,1.48466,-0.51534,-0.18067,-1.06692,-2.79503,0.08714,-0.29017,15212.0,10.578
