frame,time_s,scenario,source,target_lux,detected,est_x,est_y,est_z,err_x,err_y,err_z,rot_x,rot_y,rot_z,marker_area_px,frame_brightness
0,0.0,Twilight 19:00,simulation,3.0,1,-0.004,0.03138,2.61258,0.61258,-0.004,-0.96862,3.45843,0.00044,0.00251,625.0,44.254
1,0.0336,Twilight 19:00,simulation,3.0,1,-0.004,0.03138,2.61258,0.61258,-0.004,-0.96862,3.45843,0.00044,0.00251,625.0,44.254
2,0.0672,Twilight 19:00,simulation,3.0,1,-0.004,0.03138,2.61258,0.61258,-0.004,-0.96862,3.45843,0.00044,0.00251,625.0,44.254
3,0.1008,Twilight 19:00,simulation,3.0,1,-0.004,0.03138,2.61258,0.61258,-0.004,-0.96862,3.45843,0.00044,0.00251,625.0,44.254
4,0.1345,Twilight 19:00,simulation,3.0,1,-0.004,0.03138,2.61258,0.61258,-0.004,-0.96862,3.45843,0.00044,0.00251,625.0,44.254
5,0.1681,Twilight 19:00,simulation,3.0,1,-0.004,0.03138,2.61258,0.61258,-0.004,-0.96862,3.45843,0.00044,0.00251,625.0,44.254
6,0.2017,Twilight 19:00,simulation,3.0,1,-0.004,0.03138,2.61258,0.61258,-0.004,-0.96862,3.45843,0.00044,0.00251,625.0,44.254
7,0.2353,Twilight 19:00,simulation,3.0,1,-0.004,0.03138,2.61258,0.61258,-0.004,-0.96862,3.45843,0.00044,0.00251,625.0,44.254
8,0.2689,Twilight 19:00,simulation,3.0,1,-0.004,0.03138,2.61258,0.61258,-0.004,-0.96862,3.45843,0.00044,0.00251,625.0,44.254
9,0.3025,Twilight 19:00,simulation,3.0,1,-0.004,0.03138,2.61258,0.61258,-0.004,-0.96862,3.45843,0.00044,0.00251,625.0,44.254
10,0.3361,Twilight 19:00,simulation,3.0,1,-0.004,0.03138,2.61258,0.61258,-0.004,-0.96862,3.45843,0.00044,0.00251,625.0,44.254
11,0.3697,Twilight 19:00,simulation,3.0,1,-0.004,0.03138,2.61258,0.61258,-0.004,-0.96862,3.45843,0.00044,0.00251,625.0,44.254
12,0.4034,Twilight 19:00,simulation,3.0,1,-0.004,0.03138,2.61258,0.61258,-0.004,-0.96862,3.45843,0.00044,0.00251,625.0,44.254
13,0.437,Twilight 19:00,simulation,3.0,1,-0.004,0.03138,2.61258,0.61258,-0.004,-0.96862,3.45843,0.00044,0.00251,625.0,44.254
14,0.4706,Twilight 19:00,simulation,3.0,1,-0.004,0.03138,2.61258,0.61258,-0.004,-0.96862,3.45843,0.00044,0.00251,625.0,44.254
15,0.5042,Twilight 19:00,simulation,3.0,1,-0.004,0.03138,2.61258,0.61258,-0.004,-0.96862,3.45843,0.00044,0.00251,625.0,44.254
16,0.5378,Twilight 19:00,simulation,3.0,1,-0.004,0.03138,2.61258,0.61258,-0.004,-0.96862,3.45843,0.00044,0.00251,625.0,44.254
17,0.5714,Twilight 19:00,simulation,3.0,1,-0.004,0.03138,2.61258,0.61258,-0.004,-0.96862,3.45843,0.00044,0.00251,625.0,44.254
18,0.605,Twilight 19:00,simulation,3.0,1,-0.004,0.03138,2.61258,0.61258,-0.004,-0.96862,3.45843,0.00044,0.00251,625.0,44.254
19,0.6387,Twilight 19:00,simulation,3.0,1,-0.004,0.03138,2.61258,0.61258,-0.004,-0.96862,3.45843,0.00044,0.00251,625.0,44.254
20,0.6723,Twilight 19:00,simulation,3.0,1,-0.004,0.03138,2.61258,0.61258,-0.004,-0.96862,3.45843,0.00044,0.00251,625.0,44.254
21,0.7059,Twilight 19:00,simulation,3.0,1,-0.004,0.03138,2.61258,0.61258,-0.004,-0.96862,3.45843,0.00044,0.00251,625.0,44.254
22,0.7395,Twilight 19:00,simulation,3.0,1,-0.004,0.03138,2.61258,0.61258,-0.004,-0.96862,3.45843,0.00044,0.00251,625.0,44.254
23,0.7731,Twilight 19:00,simulation,3.0,1,-0.004,0.03138,2.61258,0.61258,-0.004,-0.96862,3.45843,0.00044,0.00251,625.0,44.254
24,0.8067,Twilight 19:00,simulation,3.0,1,-0.004,0.03138,2.61258,0.61258,-0.004,-0.96862,3.45843,0.00044,0.00251,625.0,44.254
25,0.8403,Twilight 19:00,simulation,3.0,1,-0.004,0.03138,2.61258,0.61258,-0.004,-0.96862,3.45843,0.00044,0.00251,625.0,44.254
26,0.8739,Twilight 19:00,simulation,3.0,1,-0.004,0.03138,2.61258,0.61258,-0.004,-0.96862,3.45843,0.00044,0.00251,625.0,44.254
27,0.9076,Twilight 19:00,simulation,3.0,1,-0.004,0.03138,2.61258,0.61258,-0.004,-0.96862,3.45843,0.00044,0.00251,625.0,44.254
28,0.9412,Twilight 19:00,simulation,3.0,1,-0.004,0.03138,2.61258,0.61258,-0.004,-0.96862,3.45843,0.00044,0.00251,625.0,44.254
29,0.9748,Twilight 19:00,simulation,3.0,1,-0.004,0.03138,2.61258,0.61258,-0.004,-0.96862,3.45843,0.00044,0.00251,625.0,44.254
30,1.0084,Twilight 19:00,simulation,3.0,1,-0.004,0.03138,2.61258,0.61258,-0.004,-0.96862,3.45843,0.00044,0.00251,625.0,44.254
