frame,time_s,scenario,source,target_lux,detected,est_x,est_y,est_z,err_x,err_y,err_z,rot_x,rot_y,rot_z,marker_area_px,frame_brightness
38,2.5333,Midnight 00:00,real-world,0.1,1,0.01817,0.05627,2.33032,0.33032,0.01817,-0.94373,2.97829,-0.03467,-0.20944,6283.0,5.442
39,2.6,Midnight 00:00,real-world,0.1,1,0.02176,0.06166,2.35572,0.35572,0.02176,-0.93834,3.21945,-0.04524,0.09775,6206.5,5.412
40,2.6667,Midnight 00:00,real-world,0.1,1,0.02176,0.06419,2.3557,0.3557,0.02176,-0.93581,3.21885,-0.04518,0.09765,6206.5,5.433
41,2.7333,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.452
42,2.8,Midnight 00:00,real-world,0.1,1,0.01861,0.07307,2.35439,0.35439,0.01861,-0.92693,-3.02165,0.00012,-0.34147,6043.0,5.412
43,2.8667,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.421
44,2.9333,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.441
45,3.0,Midnight 00:00,real-world,0.1,1,0.01122,0.07083,2.34556,0.34556,0.01122,-0.92917,3.0388,-0.02702,0.43618,6045.0,5.434
46,3.0667,Midnight 00:00,real-world,0.1,1,0.0123,0.07035,2.35383,0.35383,0.0123,-0.92965,3.02473,-0.00403,0.3479,6083.0,5.47
47,3.1333,Midnight 00:00,real-world,0.1,1,0.01052,0.06848,2.34622,0.34622,0.01052,-0.93152,3.08026,-0.02345,0.40875,6084.0,5.476
48,3.2,Midnight 00:00,real-world,0.1,1,0.01081,0.06815,2.35526,0.35526,0.01081,-0.93185,3.10396,-0.03565,0.26279,6166.0,5.475
49,3.2667,Midnight 00:00,real-world,0.1,1,0.00577,0.06562,2.35524,0.35524,0.00577,-0.93438,3.10429,-0.0358,0.266,6166.0,5.494
50,3.3333,Midnight 00:00,real-world,0.1,1,0.00056,0.06393,2.37097,0.37097,0.00056,-0.93607,3.20881,-0.04846,0.21417,6090.0,5.444
51,3.4,Midnight 00:00,real-world,0.1,1,-0.00664,0.06184,2.35617,0.35617,-0.00664,-0.93816,3.09419,-0.05484,0.36063,6092.0,5.457
52,3.4667,Midnight 00:00,real-world,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.434
