frame,time_s,scenario,source,target_lux,detected,est_x,est_y,est_z,err_x,err_y,err_z,rot_x,rot_y,rot_z,marker_area_px,frame_brightness
0,0.0,Evening 21:00,real-world,0.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.645
1,0.0667,Evening 21:00,real-world,0.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.231
2,0.1333,Evening 21:00,real-world,0.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.728
3,0.2,Evening 21:00,real-world,0.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.807
4,0.2667,Evening 21:00,real-world,0.3,1,-0.1496,-0.09576,0.89756,-1.10244,-0.1496,-1.09576,2.81558,-0.09017,0.02493,39514.0,16.971
5,0.3333,Evening 21:00,real-world,0.3,1,-0.14464,-0.11083,0.95925,-1.04075,-0.14464,-1.11083,2.92021,-0.02071,-0.00171,35868.0,16.26
6,0.4,Evening 21:00,real-world,0.3,1,-0.13632,-0.11849,0.97524,-1.02476,-0.13632,-1.11849,3.04202,0.00016,0.12251,36192.5,15.204
7,0.4667,Evening 21:00,real-world,0.3,1,-0.12592,-0.11638,0.98287,-1.01713,-0.12592,-1.11638,3.0807,-0.00613,0.14528,35905.0,14.402
8,0.5333,Evening 21:00,real-world,0.3,1,-0.12333,-0.11156,1.03854,-0.96146,-0.12333,-1.11156,-3.13637,0.01905,-0.29845,32304.5,13.822
9,0.6,Evening 21:00,real-world,0.3,1,-0.12361,-0.10177,1.11984,-0.88016,-0.12361,-1.10177,-3.08363,0.04876,-0.24384,27907.0,13.126
10,0.6667,Evening 21:00,real-world,0.3,1,-0.12868,-0.08672,1.20337,-0.79663,-0.12868,-1.08672,-3.09915,0.08342,-0.33902,23996.5,12.541
11,0.7333,Evening 21:00,real-world,0.3,1,-0.14005,-0.0747,1.29854,-0.70146,-0.14005,-1.0747,3.12372,-0.10895,0.15269,20682.0,12.151
12,0.8,Evening 21:00,real-world,0.3,1,-0.14955,-0.05884,1.37965,-0.62035,-0.14955,-1.05884,-2.96714,0.07741,-0.22962,18217.0,11.839
13,0.8667,Evening 21:00,real-world,0.3,1,-0.15907,-0.05046,1.44864,-0.55136,-0.15907,-1.05046,-2.99044,0.06227,-0.32762,16481.0,11.409
14,0.9333,Evening 21:00,real-world,0.3,1,-0.16516,-0.05294,1.52099,-0.47901,-0.16516,-1.05294,-3.17125,0.08559,-0.24068,15041.0,11.293
15,1.0,Evening 21:00,real-world,0.3,1,-0.16534,-0.05417,1.57264,-0.42736,-0.16534,-1.05417,-3.14111,0.07106,-0.34757,14005.0,11.244
16,1.0667,Evening 21:00,real-world,0.3,1,-0.16354,-0.04919,1.64679,-0.35321,-0.16354,-1.04919,3.19268,-0.0735,-0.00378,12799.0,11.227
17,1.1333,Evening 21:00,real-world,0.3,1,-0.15407,-0.04046,1.71053,-0.28947,-0.15407,-1.04046,-2.99224,0.06638,-0.03958,11802.0,11.171
18,1.2,Evening 21:00,real-world,0.3,1,-0.14353,-0.03589,1.75546,-0.24454,-0.14353,-1.03589,3.02941,-0.07384,0.30248,11149.5,11.188
19,1.2667,Evening 21:00,real-world,0.3,1,-0.13474,-0.02472,1.83118,-0.16882,-0.13474,-1.02472,3.19918,-0.019,-0.16965,10202.0,11.225
20,1.3333,Evening 21:00,real-world,0.3,1,-0.11428,-0.01069,1.90726,-0.09274,-0.11428,-1.01069,-3.21788,-0.01556,-0.27745,9458.5,11.306
21,1.4,Evening 21:00,real-world,0.3,1,-0.09579,0.00447,1.95794,-0.04206,-0.09579,-0.99553,3.19025,0.07371,-0.21252,8900.0,11.386
22,1.4667,Evening 21:00,real-world,0.3,1,-0.07826,0.00891,2.02552,0.02552,-0.07826,-0.99109,-3.19707,-0.13489,-0.36649,8294.5,11.421
23,1.5333,Evening 21:00,real-world,0.3,1,-0.06397,0.006,2.07464,0.07464,-0.06397,-0.994,3.10027,0.13408,0.20077,8025.5,11.408
24,1.6,Evening 21:00,real-world,0.3,1,-0.05213,-0.00629,2.12029,0.12029,-0.05213,-1.00629,3.11142,0.15115,0.26541,7641.0,11.427
25,1.6667,Evening 21:00,real-world,0.3,1,-0.04285,-0.01661,2.14329,0.14329,-0.04285,-1.01661,3.02545,0.13364,0.0875,7499.0,11.463
26,1.7333,Evening 21:00,real-world,0.3,1,-0.03197,-0.01828,2.15452,0.15452,-0.03197,-1.01828,2.92322,0.12575,0.12228,7280.0,11.518
27,1.8,Evening 21:00,real-world,0.3,1,-0.02456,-0.0187,2.17936,0.17936,-0.02456,-1.0187,3.00042,0.12219,0.18834,7189.0,11.533
28,1.8667,Evening 21:00,real-world,0.3,1,-0.02258,-0.02022,2.19905,0.19905,-0.02258,-1.02022,2.97324,0.11856,-0.06079,7059.5,11.536
29,1.9333,Evening 21:00,real-world,0.3,1,-0.02346,-0.01707,2.22993,0.22993,-0.02346,-1.01707,3.06097,0.10929,0.16307,6925.0,11.515
30,2.0,Evening 21:00,real-world,0.3,1,-0.03134,-0.0156,2.23212,0.23212,-0.03134,-1.0156,3.00015,0.10285,-0.07065,6880.5,11.492
31,2.0667,Evening 21:00,real-world,0.3,1,-7.27373,-2.33869,12.03515,10.03515,-7.27373,-3.33869,1.1296,-1.84646,1.41147,36.0,11.463
32,2.1333,Evening 21:00,real-world,0.3,1,-0.0498,-0.00196,2.28614,0.28614,-0.0498,-1.00196,2.95743,0.09797,0.16858,6510.0,11.514
33,2.2,Evening 21:00,real-world,0.3,1,-0.06424,0.00107,2.29969,0.29969,-0.06424,-0.99893,2.94547,0.06973,0.19227,6415.5,11.513
34,2.2667,Evening 21:00,real-world,0.3,1,-0.07419,0.00174,2.31981,0.31981,-0.07419,-0.99826,2.95449,0.02363,0.1814,6322.0,11.461
35,2.3333,Evening 21:00,real-world,0.3,1,-0.0837,0.01479,2.36886,0.36886,-0.0837,-0.98521,3.16852,-0.05866,0.32764,6092.5,11.483
36,2.4,Evening 21:00,real-world,0.3,1,-0.08761,0.02384,2.37898,0.37898,-0.08761,-0.97616,3.03409,-0.04082,0.18719,6088.0,11.489
37,2.4667,Evening 21:00,real-world,0.3,1,-0.08796,0.02522,2.40186,0.40186,-0.08796,-0.97478,2.99879,-0.05311,-0.10567,5935.0,11.453
38,2.5333,Evening 21:00,real-world,0.3,1,-0.07946,0.01572,2.43729,0.43729,-0.07946,-0.98428,2.98191,-0.11642,0.13725,5771.0,11.474
39,2.6,Evening 21:00,real-world,0.3,1,-0.06232,-0.00249,2.41281,0.41281,-0.06232,-1.00249,2.97399,-0.1161,0.44768,5692.5,11.505
40,2.6667,Evening 21:00,real-world,0.3,1,-0.04713,-0.01981,2.39867,0.39867,-0.04713,-1.01981,2.98701,-0.08723,0.44903,5753.0,11.53
41,2.7333,Evening 21:00,real-world,0.3,1,-0.03454,-0.0352,2.42369,0.42369,-0.03454,-1.0352,2.95255,-0.04732,0.22293,5742.5,11.545
42,2.8,Evening 21:00,real-world,0.3,1,-0.02177,-0.04656,2.37441,0.37441,-0.02177,-1.04656,2.93503,-0.06328,0.45106,5780.0,11.614
43,2.8667,Evening 21:00,real-world,0.3,1,-0.01167,-0.05787,2.38185,0.38185,-0.01167,-1.05787,3.0273,-0.04474,0.42928,5853.0,11.627
44,2.9333,Evening 21:00,real-world,0.3,1,-0.00292,-0.07047,2.41143,0.41143,-0.00292,-1.07047,2.97219,-0.03504,0.36991,5700.0,11.634
45,3.0,Evening 21:00,real-world,0.3,1,0.00641,-0.08625,2.3994,0.3994,0.00641,-1.08625,2.98468,-0.05244,0.23064,5857.5,11.664
46,3.0667,Evening 21:00,real-world,0.3,1,0.01374,-0.08994,2.35291,0.35291,0.01374,-1.08994,2.91325,-0.04953,0.17878,6010.5,11.694
47,3.1333,Evening 21:00,real-world,0.3,1,0.02286,-0.08622,2.38195,0.38195,0.02286,-1.08622,3.00121,-0.07506,0.18218,5981.0,11.712
48,3.2,Evening 21:00,real-world,0.3,1,0.03259,-0.0688,2.35496,0.35496,0.03259,-1.0688,2.99042,-0.12992,0.37989,5968.0,11.727
49,3.2667,Evening 21:00,real-world,0.3,1,0.0376,-0.04954,2.37316,0.37316,0.0376,-1.04954,3.01258,-0.12271,0.24996,6006.0,11.695
50,3.3333,Evening 21:00,real-world,0.3,1,0.03814,-0.0242,2.3426,0.3426,0.03814,-1.0242,3.0452,-0.09399,0.39914,6065.5,11.682
51,3.4,Evening 21:00,real-world,0.3,1,0.03598,0.00134,2.3542,0.3542,0.03598,-0.99866,3.00074,-0.04147,0.22068,6127.5,11.737
52,3.4667,Evening 21:00,real-world,0.3,1,0.04116,0.02199,2.33764,0.33764,0.04116,-0.97801,3.13091,-0.06326,0.38755,6132.0,11.717
53,3.5333,Evening 21:00,real-world,0.3,1,0.04045,0.04333,2.34258,0.34258,0.04045,-0.95667,-3.13172,0.06672,-0.3205,6173.5,11.707
54,3.6,Evening 21:00,real-world,0.3,1,0.03419,0.05478,2.34234,0.34234,0.03419,-0.94522,3.14612,0.00373,0.33467,6161.0,11.728
55,3.6667,Evening 21:00,real-world,0.3,1,0.0284,0.05555,2.36246,0.36246,0.0284,-0.94445,3.07504,0.02238,0.18324,6163.0,11.713
56,3.7333,Evening 21:00,real-world,0.3,1,0.02386,0.05447,2.35703,0.35703,0.02386,-0.94553,3.00021,0.04113,0.16153,6166.0,11.694
57,3.8,Evening 21:00,real-world,0.3,1,0.0209,0.05342,2.34437,0.34437,0.0209,-0.94658,3.11301,0.01828,0.28503,6201.5,11.701
58,3.8667,Evening 21:00,real-world,0.3,1,0.01736,0.05564,2.33955,0.33955,0.01736,-0.94436,3.05692,0.0295,0.39101,6123.0,11.67
59,3.9333,Evening 21:00,real-world,0.3,1,0.01155,0.05587,2.35952,0.35952,0.01155,-0.94413,3.00635,0.04245,0.28701,6087.5,11.726
60,4.0,Evening 21:00,real-world,0.3,1,0.0061,0.05628,2.32814,0.32814,0.0061,-0.94372,2.99846,0.02119,0.17032,6321.0,11.675
61,4.0667,Evening 21:00,real-world,0.3,1,0.00155,0.05659,2.31359,0.31359,0.00155,-0.94341,3.14171,0.02411,0.35076,6320.0,11.722
62,4.1333,Evening 21:00,real-world,0.3,1,-0.00451,0.05788,2.33768,0.33768,-0.00451,-0.94212,3.02495,-0.03123,0.18623,6283.5,11.684
