frame,time_s,scenario,target_lux,detected,est_x,est_y,est_z,err_x,err_y,err_z,rot_x,rot_y,rot_z,marker_area_px,frame_brightness
0,0.0,Twilight 19:00,3.0,1,-0.02401,0.02356,2.56071,0.56071,-0.02401,-0.97644,3.51518,0.00319,0.01593,625.0,44.792
1,0.0337,Twilight 19:00,3.0,1,-0.02401,0.02356,2.56071,0.56071,-0.02401,-0.97644,3.51518,0.00319,0.01593,625.0,44.792
2,0.0674,Twilight 19:00,3.0,1,-0.02401,0.02356,2.56071,0.56071,-0.02401,-0.97644,3.51518,0.00319,0.01593,625.0,44.792
3,0.1011,Twilight 19:00,3.0,1,-0.02401,0.02356,2.56071,0.56071,-0.02401,-0.97644,3.51518,0.00319,0.01593,625.0,44.792
4,0.1348,Twilight 19:00,3.0,1,-0.02401,0.02356,2.56071,0.56071,-0.02401,-0.97644,3.51518,0.00319,0.01593,625.0,44.792
5,0.1685,Twilight 19:00,3.0,1,-0.02401,0.02356,2.56071,0.56071,-0.02401,-0.97644,3.51518,0.00319,0.01593,625.0,44.792
6,0.2022,Twilight 19:00,3.0,1,-0.02401,0.02356,2.56071,0.56071,-0.02401,-0.97644,3.51518,0.00319,0.01593,625.0,44.792
7,0.236,Twilight 19:00,3.0,1,-0.02401,0.02356,2.56071,0.56071,-0.02401,-0.97644,3.51518,0.00319,0.01593,625.0,44.792
8,0.2697,Twilight 19:00,3.0,1,-0.02401,0.02356,2.56071,0.56071,-0.02401,-0.97644,3.51518,0.00319,0.01593,625.0,44.792
9,0.3034,Twilight 19:00,3.0,1,-0.02401,0.02356,2.56071,0.56071,-0.02401,-0.97644,3.51518,0.00319,0.01593,625.0,44.792
10,0.3371,Twilight 19:00,3.0,1,-0.02401,0.02356,2.56071,0.56071,-0.02401,-0.97644,3.51518,0.00319,0.01593,625.0,44.792
11,0.3708,Twilight 19:00,3.0,1,-0.02401,0.02356,2.56071,0.56071,-0.02401,-0.97644,3.51518,0.00319,0.01593,625.0,44.792
12,0.4045,Twilight 19:00,3.0,1,-0.02401,0.02356,2.56071,0.56071,-0.02401,-0.97644,3.51518,0.00319,0.01593,625.0,44.792
13,0.4382,Twilight 19:00,3.0,1,-0.02401,0.02356,2.56071,0.56071,-0.02401,-0.97644,3.51518,0.00319,0.01593,625.0,44.792
14,0.4719,Twilight 19:00,3.0,1,-0.02401,0.02356,2.56071,0.56071,-0.02401,-0.97644,3.51518,0.00319,0.01593,625.0,44.792
15,0.5056,Twilight 19:00,3.0,1,-0.02401,0.02356,2.56071,0.56071,-0.02401,-0.97644,3.51518,0.00319,0.01593,625.0,44.792
16,0.5393,Twilight 19:00,3.0,1,-0.02401,0.02356,2.56071,0.56071,-0.02401,-0.97644,3.51518,0.00319,0.01593,625.0,44.792
17,0.573,Twilight 19:00,3.0,1,-0.02401,0.02356,2.56071,0.56071,-0.02401,-0.97644,3.51518,0.00319,0.01593,625.0,44.792
18,0.6067,Twilight 19:00,3.0,1,-0.02401,0.02356,2.56071,0.56071,-0.02401,-0.97644,3.51518,0.00319,0.01593,625.0,44.792
19,0.6404,Twilight 19:00,3.0,1,-0.02401,0.02356,2.56071,0.56071,-0.02401,-0.97644,3.51518,0.00319,0.01593,625.0,44.792
20,0.6742,Twilight 19:00,3.0,1,-0.02401,0.02356,2.56071,0.56071,-0.02401,-0.97644,3.51518,0.00319,0.01593,625.0,44.792
21,0.7079,Twilight 19:00,3.0,1,-0.02401,0.02356,2.56071,0.56071,-0.02401,-0.97644,3.51518,0.00319,0.01593,625.0,44.792
22,0.7416,Twilight 19:00,3.0,1,-0.02401,0.02356,2.56071,0.56071,-0.02401,-0.97644,3.51518,0.00319,0.01593,625.0,44.792
23,0.7753,Twilight 19:00,3.0,1,-0.02401,0.02356,2.56071,0.56071,-0.02401,-0.97644,3.51518,0.00319,0.01593,625.0,44.792
24,0.809,Twilight 19:00,3.0,1,-0.02401,0.02356,2.56071,0.56071,-0.02401,-0.97644,3.51518,0.00319,0.01593,625.0,44.792
