frame,time_s,scenario,source,target_lux,detected,est_x,est_y,est_z,err_x,err_y,err_z,rot_x,rot_y,rot_z,marker_area_px,frame_brightness
0,0.0,Twilight 19:00,simulation,3.0,1,-0.004,0.03138,2.61258,0.61258,-0.004,-0.96862,3.45843,0.00044,0.00251,625.0,44.235
1,0.0337,Twilight 19:00,simulation,3.0,1,-0.004,0.03138,2.61258,0.61258,-0.004,-0.96862,3.45843,0.00044,0.00251,625.0,44.235
2,0.0674,Twilight 19:00,simulation,3.0,1,-0.004,0.03138,2.61258,0.61258,-0.004,-0.96862,3.45843,0.00044,0.00251,625.0,44.235
3,0.1011,Twilight 19:00,simulation,3.0,1,-0.004,0.03138,2.61258,0.61258,-0.004,-0.96862,3.45843,0.00044,0.00251,625.0,44.235
4,0.1348,Twilight 19:00,simulation,3.0,1,-0.004,0.03138,2.61258,0.61258,-0.004,-0.96862,3.45843,0.00044,0.00251,625.0,44.235
5,0.1685,Twilight 19:00,simulation,3.0,1,-0.004,0.03138,2.61258,0.61258,-0.004,-0.96862,3.45843,0.00044,0.00251,625.0,44.235
6,0.2022,Twilight 19:00,simulation,3.0,1,-0.004,0.03138,2.61258,0.61258,-0.004,-0.96862,3.45843,0.00044,0.00251,625.0,44.235
7,0.236,Twilight 19:00,simulation,3.0,1,-0.004,0.03138,2.61258,0.61258,-0.004,-0.96862,3.45843,0.00044,0.00251,625.0,44.235
8,0.2697,Twilight 19:00,simulation,3.0,1,-0.004,0.03138,2.61258,0.61258,-0.004,-0.96862,3.45843,0.00044,0.00251,625.0,44.235
9,0.3034,Twilight 19:00,simulation,3.0,1,-0.004,0.03138,2.61258,0.61258,-0.004,-0.96862,3.45843,0.00044,0.00251,625.0,44.235
10,0.3371,Twilight 19:00,simulation,3.0,1,-0.004,0.03138,2.61258,0.61258,-0.004,-0.96862,3.45843,0.00044,0.00251,625.0,44.235
11,0.3708,Twilight 19:00,simulation,3.0,1,-0.004,0.03138,2.61258,0.61258,-0.004,-0.96862,3.45843,0.00044,0.00251,625.0,44.235
12,0.4045,Twilight 19:00,simulation,3.0,1,-0.004,0.03138,2.61258,0.61258,-0.004,-0.96862,3.45843,0.00044,0.00251,625.0,44.235
13,0.4382,Twilight 19:00,simulation,3.0,1,-0.004,0.03138,2.61258,0.61258,-0.004,-0.96862,3.45843,0.00044,0.00251,625.0,44.235
14,0.4719,Twilight 19:00,simulation,3.0,1,-0.004,0.03138,2.61258,0.61258,-0.004,-0.96862,3.45843,0.00044,0.00251,625.0,44.235
15,0.5056,Twilight 19:00,simulation,3.0,1,-0.004,0.03138,2.61258,0.61258,-0.004,-0.96862,3.45843,0.00044,0.00251,625.0,44.235
16,0.5393,Twilight 19:00,simulation,3.0,1,-0.004,0.03138,2.61258,0.61258,-0.004,-0.96862,3.45843,0.00044,0.00251,625.0,44.235
17,0.573,Twilight 19:00,simulation,3.0,1,-0.004,0.03138,2.61258,0.61258,-0.004,-0.96862,3.45843,0.00044,0.00251,625.0,44.235
18,0.6067,Twilight 19:00,simulation,3.0,1,-0.004,0.03138,2.61258,0.61258,-0.004,-0.96862,3.45843,0.00044,0.00251,625.0,44.235
19,0.6404,Twilight 19:00,simulation,3.0,1,-0.004,0.03138,2.61258,0.61258,-0.004,-0.96862,3.45843,0.00044,0.00251,625.0,44.235
20,0.6742,Twilight 19:00,simulation,3.0,1,-0.004,0.03138,2.61258,0.61258,-0.004,-0.96862,3.45843,0.00044,0.00251,625.0,44.235
