frame,time_s,scenario,source,target_lux,detected,est_x,est_y,est_z,err_x,err_y,err_z,rot_x,rot_y,rot_z,marker_area_px,frame_brightness
0,0.0,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.912
1,0.0336,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.912
2,0.0672,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.912
3,0.1008,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.912
4,0.1345,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.912
5,0.1681,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.912
6,0.2017,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.912
7,0.2353,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.912
8,0.2689,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.912
9,0.3025,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.912
10,0.3361,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.912
11,0.3697,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.912
12,0.4034,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.911
13,0.437,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.911
14,0.4706,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.911
15,0.5042,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.911
16,0.5378,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.911
17,0.5714,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.911
18,0.605,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.911
19,0.6387,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.911
20,0.6723,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.911
21,0.7059,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.911
22,0.7395,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.911
23,0.7731,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.911
24,0.8067,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.911
25,0.8403,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.911
26,0.8739,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.911
27,0.9076,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.911
28,0.9412,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.911
29,0.9748,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.911
30,1.0084,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.911
31,1.042,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.911
32,1.0756,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.911
33,1.1092,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.911
34,1.1429,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.911
35,1.1765,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.911
36,1.2101,Midnight 00:00,simulation,0.1,1,-0.07606,-0.01628,2.61376,0.61376,-0.07606,-1.01628,2.82024,-0.00677,0.03961,625.0,4.911
